,0,1
691,王明,张德江
692,王明,李岚清
693,王明,余心清
694,王明,陈劭先
695,王明,邓发
696,王明,李先念
697,王明,周纯全
698,王明,温裕成
699,王明,徐以新
700,王明,刘澜涛
701,王明,盛忠亮
702,王明,涂长望
703,王明,丁关根
704,王明,张高丽
705,王明,高文謙
706,王明,孙济民
707,王明,陈昌浩
708,王明,朱阿根
709,王明,长江局
710,王明,刘华清
711,王明,卢福坦
712,王明,汪盛荻
713,王明,南汉宸
714,王明,殷鉴
715,王明,王云程
716,王明,章乃器
717,王明,赖祖烈
718,王明,李克强
719,王明,梁希
720,王明,朱镕基
721,王明,周永康
722,王明,徐锡根
723,王明,吴官正
724,王明,莫斯科
725,王明,阎明复
726,王明,张琴秋
727,王明,李长春
728,王明,陈伯达
729,王明,王岐山
730,王明,夏曦
731,王明,叶季壮
732,王明,何子述
733,王明,顾作霖
734,王明,罗登贤
735,王明,胡愈之
736,王明,杨尚昆
737,王明,温家宝
738,王明,俞正声
739,王明,黄绍竑
740,王明,刘云山
741,王明,王兆国
742,王明,王克全
743,王明,伍修权
744,王明,楚图南
745,王明,孟庆树
746,王明,陈正人
747,苏州,曲園
748,苏州,苏剧
749,苏州,高嶺石
750,苏州,福布斯
751,苏州,苏锡菜
752,苏州,沈括
753,苏州,姚广孝
754,苏州,平江府
755,苏州,秦朝
756,苏州,阳澄湖
757,苏州,尚湖
758,苏州,南唐
759,苏州,吴国
760,苏州,张僧繇
761,苏州,南直隶
762,苏州,贝聿铭
763,苏州,文徵明
764,苏州,南河下
765,苏州,官话
766,苏州,齐国
767,苏州,江東郡
768,苏州,曲艺
769,苏州,蒯祥
770,苏州,明礬石
771,苏州,里加
772,苏州,巴西
773,苏州,朱棣文
774,苏州,太湖
775,苏州,徐扬
776,苏州,西厢记
777,苏州,东汉
778,苏州,白居易
779,苏州,沈周
780,苏州,山塘街
781,苏州,太湖片
782,苏州,松鹤楼
783,苏州,政和
784,苏州,范仲淹
785,苏州,吴昌硕
786,苏州,经济
787,苏州,周乃翔
788,苏州,杜荀鹤
789,苏州,伍子胥
790,苏州,常熟
791,苏州,党报
792,苏州,元旦
793,苏州,年糕
794,苏州,吴郡
795,苏州,董希文
796,苏州,陆龟蒙
797,苏州,苏东坡
798,苏州,武術
799,苏州,张家港
800,苏州,范成大
801,苏州,唐朝
802,苏州,任熊
803,苏州,吴健雄
804,苏州,言偃
805,苏州,俞大綱
806,苏州,苏州站
807,苏州,吴文化
808,苏州,乐器
809,苏州,宋徽宗
810,苏州,顾炎武
811,苏州,花崗岩
812,苏州,韩雪
813,苏州,江南道
814,苏州,钱谦益
815,苏州,简化字
816,苏州,商朝
817,苏州,任伯年
818,苏州,经纬度
819,苏州,长江
820,苏州,苏州府
821,苏州,古吴语
822,苏州,常州
823,苏州,白话字
824,苏州,桂花
825,苏州,吴淞江
826,苏州,长江口
827,苏州,孙武
828,苏州,明朝
829,苏州,吴越国
830,苏州,沙家浜
831,苏州,商埠
832,苏州,赵飞燕
833,苏州,陆机
834,苏州,石灰岩
835,苏州,娄江
836,苏州,国家
837,苏州,毕沅
838,苏州,陶波
839,苏州,苏州港
840,苏州,云龙山
841,苏州,金鸡湖
842,苏州,苏绣
843,苏州,楚国
844,苏州,李秀成
845,苏州,苏州话
846,苏州,秦始皇
847,苏州,费孝通
848,苏州,苏菜
849,苏州,唐伯虎
850,苏州,金圣叹
851,苏州,吴语
852,苏州,上海话
853,苏州,马累
854,苏州,南北朝
855,苏州,项羽
856,苏州,翁同龢
857,苏州,魏良辅
858,苏州,麻餅
859,苏州,黄天源
860,苏州,朱士傑
861,苏州,师俭堂
862,苏州,太监弄
863,苏州,江南
864,苏州,梁武帝
865,苏州,孔庙
866,苏州,山塘河
867,苏州,宋朝
868,何叔衡,萧瑜
869,何叔衡,长汀
870,何叔衡,江西
871,俞秀松,诸暨
872,俞秀松,胡春华
873,俞秀松,宋德福
874,俞秀松,周强
875,俞秀松,陆昊
876,俞秀松,韩英
877,俞秀松,秦宜智
878,俞秀松,盛世才
879,杨东莼,萧乾
880,杨东莼,符定一
881,杨东莼,长沙
882,杨东莼,袁行霈
883,朱蘊山,屈武
884,朱蘊山,刘靖基
885,朱蘊山,孙家正
886,朱蘊山,王光英
887,朱蘊山,刘奇葆
888,朱蘊山,光复会
889,朱蘊山,王任重
890,朱蘊山,陈元
891,朱蘊山,陈奎元
892,朱蘊山,许德珩
893,朱蘊山,彭冲
894,朱蘊山,卢展工
895,朱蘊山,王家瑞
896,朱蘊山,谷牧
897,朱蘊山,张克辉
898,朱蘊山,何鲁丽
899,朱蘊山,张梅颖
900,朱蘊山,吕正操
901,朱蘊山,陈再道
902,朱蘊山,林文漪
903,朱蘊山,钱运录
904,朱蘊山,杨传堂
